extent,format,description,language,rights,title,date_digital_creation,contributor,genre_form,genre_form.1,identifier,geographic_subject,creator,original_publisher,date_created,classification,Image,coordinates
"3 unnumbered pages, 1 unnumbered folded sheet : llustrations ;  11 x 18 cm.","['application/tif', 'reformatted digital']","['Facsimile reprint. Originally published: London : I. Whitelaw, 1849', 'Introductory notes by Bernard Adams', 'Concertina-folded sheet attached to portfolio']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,Grand Architectural Panorama of London : Regent Street to Westminster Abbey,2023-11-13T21:41:30.838000+00:00,"Adams, Bernard",Maps,Cartographic Image,2804202,London (England)--Maps,"['Leighton, George Cargill, 1826-1895', 'Sandeman, R.']","Harry Margary in association with Guildhall Library, London",between 1980 and 1989?,NA970 .S36 1980z,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/52/pages/page_0/files/londonmaps_2804202_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/52/pages/page_1/files/londonmaps_2804202_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/52/pages/page_2/files/londonmaps_2804202_2.tif,
"maps 45 x 45 cm., on sheets 58 x 49 cm","['application/tif', 'reformatted digital']","['Cartographic material', 'Geographic area in title supplied by cataloger', 'Scale 1:25,000. 2 1/2 in. = 1 mi', '""The representation on this plan of a road, track or footpath is no evidence of the existence of a right of way.""', 'Includes index to adjoining sheets', 'Shows building footprints', '""The Grid lines on this sheet are at 1 kilometre interval.""', 'Some sheets indicate ""Revised"" with dates', 'Includes ""outline edition"", and colored']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"Ordnance survey national grid plans, scale 1:25,000 [London]",2023-11-13T21:20:22.582000+00:00,,Maps,Cartographic Image,4447253,London (England)--Maps,Great Britain Ordnance Survey,Ordnance Survey,1956-1961.,G5754.L7 s25 .G74,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/50/pages/page_0/files/londonmaps_4447253_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/50/pages/page_1/files/londonmaps_4447253_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/50/pages/page_2/files/londonmaps_4447253_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/50/pages/page_3/files/londonmaps_4447253_4.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/50/pages/page_4/files/londonmaps_4447253_5.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/50/pages/page_5/files/londonmaps_4447253_6.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/50/pages/page_6/files/londonmaps_4447253_7.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/50/pages/page_7/files/londonmaps_4447253_8.jpg,
1 map 70 x 101 cm,"['application/tif', 'reformatted digital']","['Includes position of sheet on the plans of the 1:2,500 scale survey', 'Partially hand-colored', 'Cartographic material', '""Metropolitan Railway &c. inserted 1872.""', 'Scale [ca. 1:1,056]. 5ft. = 1 mile']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,London (co. Middlesex).,2023-11-13T21:14:58.544000+00:00,"James, H., 1803-1877",Maps,Cartographic Image,4035016,"['Paddington (London, England)--Maps', 'London (England)--Maps']",Great Britain Ordnance Survey,[Ordnance Survey],1868,G5754.L7:2P3 1865 .G7,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/46/pages/page_0/files/londonmaps_4035016.jpg,
1 maps on 4 sheets color 89 x 73 cm,"['application/tif', 'reformatted digital']","['Purple or purple and orange overprint on base map', 'Cartographic material', 'Shows the O.S. 1:2500 sheetlines and the areas covered by 1:1250 sheets', 'sheet 160. NW -- sheet 161. NE -- sheet 170. SW -- sheet 171. SE', 'Scale 1:63,360. 1 in. to 1 statute mile (W 0Â°38Ê¹--E 0Â°30Ê¹/N 51Â°48Ê¹--N 51Â°06Ê¹)', 'Relief shown by spot heights', 'Base map: Ordnance Survey of Great Britain, one inch to one mile map (seventh series)']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,Index of large scale national plans.,2023-11-13T21:18:07.736000+00:00,,Index Maps,Cartographic Image,4447250,London (England)--Maps,Great Britain Ordnance Survey,Director General of the Ordnance Survey,"['[1958-1960]', '©1958-1960']",G5754.L7A2 s63 .G7,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/49/pages/page_0/files/londonmaps_4447250_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/49/pages/page_1/files/londonmaps_4447250_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/49/pages/page_2/files/londonmaps_4447250_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/49/pages/page_3/files/londonmaps_4447250_4.jpg,(W 0°38'--E 0°30'/N 51°48'--N 51°06')
1 map 92 x 135 cm,"['application/tif', 'reformatted digital']","['Photocopy [London:', 'Scale [ca. 1:13,000]', 'Cartographic material', 'Title from British Library online gallery', 'New plan of London and its environs']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,Cruchley's new plan of London and its environs.,2023-11-13T21:15:03.518000+00:00,,Maps,Cartographic Image,4034905,London (England)--Maps,"Cruchley, G. F.",Engraved & Published by Cruchley map-seller,1829,G5754.L7 1829 .C7,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/43/pages/page_0/files/londonmaps_4034905_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/43/pages/page_1/files/londonmaps_4034905_2.jpg,
"1 portfolio (7 pages, 1 unnumbered folded leaves) : color plans ; 36 x 25 cm.","['reformatted digital', 'application/tif']","[""Ground floor plan of the middle and upper wards about 1790 -- First floor plan of the upper ward about 1790 -- Ground floor plan of the lower and middle (part) wards about 1790 -- Ground floor plan of the middle and upper wards -- Ground floor plan of the lower and middle (part) wards -- Hawthorne's Platts of Queen Elizabeth's Gallery -- John Norden's Survey of Windsor Castle, 1607, as drawn for Henry Prince of Wales."", 'Title from spine of portfolio', ""At top left of each plan: Hope's Windsor Castle""]",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,Windsor Castle : plans.,2023-11-13T21:41:22.669000+00:00,,Drawing and Plans,Text,3737719,Windsor Castle,"Hope, W. H. St. John (William Henry St. John), Sir, 1854-1919",[publisher not identified],between 1980 and 1989?,N1550.H66 W56 1900z,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/53/pages/page_0/files/londonmaps_3737719_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/53/pages/page_1/files/londonmaps_3737719_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/53/pages/page_2/files/londonmaps_3737719_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/53/pages/page_3/files/londonmaps_3737719_4.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/53/pages/page_4/files/londonmaps_3737719_5.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/53/pages/page_5/files/londonmaps_3737719_6.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/53/pages/page_6/files/londonmaps_3737719_7.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/53/pages/page_7/files/londonmaps_3737719_8.jpg,
"1 view on 8 sheets 70 x 182 cm., sheets 59 x 44 cm. and 44 x 59 cm","['application/tif', 'reformatted digital']","['Relief shown pictorially', 'Cartographic material', 'Darlington and Howgego No. 8', 'Plan of London (circa 1560-1570) by Ralph Agas', ""Bird's-eye-view"", 'Perspective map not drawn to scale', 'Cushing Library copy is part of the Stephen Powys Marks London Collection', 'Includes ill., text and coats-of-arms']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,Civitas Londinum.,2023-11-13T21:21:36.758000+00:00,,"['Pictorial works', 'Maps']",Cartographic image,2587953,London (England)--Early works to 1800--Facsimiles,"Agas, Ralph, 1545-1621",London Topographical Society,1905,G5754.L7A3 1570 .A3 1905,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/9/pages/page_0/files/londonmaps_2587953_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/9/pages/page_1/files/londonmaps_2587953_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/9/pages/page_2/files/londonmaps_2587953_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/9/pages/page_3/files/londonmaps_2587953_4.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/9/pages/page_4/files/londonmaps_2587953_5.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/9/pages/page_5/files/londonmaps_2587953_6.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/9/pages/page_6/files/londonmaps_2587953_7.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/9/pages/page_7/files/londonmaps_2587953_8.jpg,
1 map 20 x 55 cm,"['application/tif', 'reformatted digital']","['Crace, John Gregory, A catalogue of maps, plans and views of London, Westminster and Southwark collected and arranged by Frederick Crace (1878), no. 25, p. 4', 'Cartographic material', 'Based on a map of London attributed to R. Agas', ""Bird's-eye-view"", 'An explanatory table Londinum Antiqua along with a 10 point legend bottom left of map', 'Scale not given', 'The buildings represented pictorially']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"London and Westminster in the reign of Queen Elizabeth, anno dom. 1563",2023-11-13T21:12:33.808000+00:00,"Agas, Ralph, 1545-1621","['Aerial views', 'Early Maps']",Cartographic Image,4033610,"['Westminster (London, England)--Aerial views--Early works to 1800', 'London (England)--Aerial views--Early works to 1800']","Neele, Samuel John, 1758-1824",[publisher not identified],[between 1820 and 1824?],G5754.L7A3 1563 .N44 1820,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/36/pages/page_0/files/londonmaps_4033610.jpg,
"1 view on 12 sheets 124 x 206 cm., sheets 56 x 61 cm","['application/tif', 'reformatted digital']","['""To Her Royal Highness Wilhelmina Carolina, the most illustrious Princess of Wales, this prospect of London, Westminster & St. James\'s Park is most humbly dedicated by John Kip.""', 'Veue et perspective de la ville de Londre, Westminster et Parc St. Jacques', 'Crace, p.158', 'View of London and Westminster by John Kip, circa 1710-1720', 'In lower margin: Key to selected buildings or places of interest, part in French and part in English', 'Cushing Library copy is part of the Stephen Powys Marks London Collection', 'Cartographic material', 'Panorama', 'Not drawn to scale']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"A prospect of the city of London, Westminster and St. James Park: veue et perspective de la ville de Londre, Westminster et Parc St. Jacques",2023-11-13T21:16:16.078000+00:00,,Pictorial works,Still Image,2578398,London (England)--Pictorial works--Early works to 1800--Facsimiles,"Kip, Johannes, 1653-1722",London Topographical Society,1903,G5754.L7A35 1720 .K5 1903,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/3/pages/page_0/files/londonmaps_2578398_01.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/3/pages/page_1/files/londonmaps_2578398_02.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/3/pages/page_2/files/londonmaps_2578398_03.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/3/pages/page_3/files/londonmaps_2578398_04.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/3/pages/page_4/files/londonmaps_2578398_05.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/3/pages/page_5/files/londonmaps_2578398_06.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/3/pages/page_6/files/londonmaps_2578398_07.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/3/pages/page_7/files/londonmaps_2578398_08.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/3/pages/page_8/files/londonmaps_2578398_09.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/3/pages/page_9/files/londonmaps_2578398_10.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/3/pages/page_10/files/londonmaps_2578398_11.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/3/pages/page_11/files/londonmaps_2578398_12.jpg,
11 maps color 51 x 86 cm. or smaller,"['application/tif', 'reformatted digital']","['Covers most of the Low Countries and northeastern France', 'sheet no. 1. Folkestone-Boulogne -- sheet no. 2. Lille-Ghent -- sheet no. 2A-3A. Walcheren-Amsterdam -- sheet no. 3. Brussels -LieÌ\x81ge -- sheet no. 3b. Leeuwarden -- sheet no. 4. Havre-Amiens -- sheet no. 5. Amiens-Mons -- sheet no. 6. Namur-Luxembourg -- sheet no. 7. Rouen-Paris -- sheet no. 8. Paris-Reims -- sheet no. 9. Chalons-Nancy', 'Cartographic material', 'Scale 1:250,000 1 in=3.945 miles 1 cm.=2.5 km. ; Lambert conical orthomorphic proj. Du Plessis (reconstituted) spheroid (W 0Â°07Ê¹--E 6Â°30Ê¹/N 52Â°38Ê¹--N 48Â°34Ê¹)', '""Origin Lat. 49Â°300Ì\x810"" North Long. 7Â°441Ì\x814"" East of Greenwich.""', 'Relief shown by shading, contour lines and spot heights', 'Military grid', 'Extra numbered sheet 2A & 3A, and 3B compiled by John Bartholomew and Son, Ltd']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"North West Europe 1:250,000.",2023-11-13T21:07:15.845000+00:00,John Bartholomew and Son,Topographic Maps,Cartographic Image,4014869,"['Europe, Northern--Maps', 'Benelux countries--Maps', 'France--Maps']",Great Britain War Office General Staff Geographical Section,War Office,1943,G5720 s250 .G7,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/23/pages/page_0/files/londonmaps_4014869_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/23/pages/page_1/files/londonmaps_4014869_2.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/23/pages/page_2/files/londonmaps_4014869_3.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/23/pages/page_3/files/londonmaps_4014869_4.jpg,(W 0°07'--E 6°30'/N 52°38'--N 48°34')
1 map overlay 59 x 35 cm,"['application/tif', 'reformatted digital']","[""The Tyburn is a stream in London, which runs underground from South Hampstead through St. James's Park to meet the River Thames at Pimlico near Vauxhall Bridge. Before it was covered over, the Tyburn arose from the confluence of two tributary streams from the hills of Hampstead. At what is now St. James's Park, it split into three branches, two of which formed Thorney Island on which Westminster Abbey was built. The Tyburn is now completely enclosed and flows through underground conduits for its entire length, including one underneath Buckingham Palace. Marylebone Lane (W1) follows the course of the Tyburn on what was its left bank through Marylebone village. From its source at the Shepherd's Well near Fitzjohns Avenue in Hampstead it flowed south through Swiss Cottage down to Regent's Park. In the park the Tyburn is carried in an aqueduct over the Regent's Canal. The sewer is now officially titled the King's Scholar's Pond Sewer,"", 'Cartographic material', 'Scale not given']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"King's College Pond Sewer, Tybourne.",2023-11-13T21:11:21.257000+00:00,,Maps,Cartographic Image,4026214,"['Tyburne, River (England)--Maps', 'Westminster (London, England)--Maps']",London County Council,[London County Council?],[between 1850 and 1869?],G5754.W54N46 1850 .L7,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/33/pages/page_0/files/londonmaps_4026214.jpg,
"maps some color sheets 73 x 106 cm., or smaller","['application/tif', 'reformatted digital']","['Some sheets have ms. annotations', 'Reprinted in various years', 'Detailed topographic survey of London (England) showing location and names of public buildings, antiquity sites and boundaries of administrative divisions. Relief shown by spot heights', 'Scale [ca. 1:1,056]. Five feet to one statute mile or 88 feet to one inch', 'Cartographic material', 'Index to series available']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,London: edition of 1894-96.,2023-11-13T21:15:45.469000+00:00,,Maps,Cartographic Image,4036806,London (England)--Maps,Great Britain Ordnance Survey,Photozincographed and published by the Director General at the Ordnance Survey Office,1894-1896.,G5754.L7 s1 1894 .G7,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/47/pages/page_0/files/londonmaps_4036806_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/47/pages/page_1/files/londonmaps_4036806_2.jpg,
map 53 x 82 cm. on 2 sheets 64 x 48 cm. and 63 x 47 cm,"['application/tif', 'reformatted digital']","['Exact surveigh of the streets, lanes, and churches contained within the ruines of the city of London', 'Cushing Library copy is part of the Stephen Powys Marks London Collection', 'Includes ""The prospect of this citty, as it appeared from the opposite Southwarke side, in the fire time,"" indexes to points of interest and wards, and City of London coat of arms', 'Has watermark', 'Facsimile', 'Cartographic material', '""Ionas Moore & Ralph Graterix, surveyors.""', 'Scale ca. 1:3,700', '""The right honourable S. William Turner, the Lord Major, ao. 1669.""', ""Bird's-eye-view"", 'Alternate title: Plan of London after the fire']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"An exact svrveigh of the streets, lanes, and chvrches contained within the rvines of the city of London",2023-11-13T21:13:48.555000+00:00,"['London Topographical Society', 'Hollar, Wenceslaus, 1607-1677']",Aerial views,Cartographic image,2578428,London (England)--Aerial views--Early works to 1800--Facsimiles,"Leake, John","Nathanaell Brooke, stationer London Topographical Society",[1669?] 1908-1909.,G5754.L7A3 1667 .L4 1908,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/4/pages/page_0/files/londonmaps_2578428_1.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/4/pages/page_1/files/londonmaps_2578428_2.jpg,
view 21 x 70 cm,"['reformatted digital', 'application/tif']","['Cushing Library copy is part of the Stephen Powys Marks London Collection', 'Facsimile', 'Cartographic material', 'Panorama', 'View of London', 'Includes index of notable buildings and 2 coats-of-arms', '""From \'Neuwe archontologia cosmica ... durch Johann Ludwig Gottfried, Franckfurt-am-Mayn, 1638.\'""', '""Emery Walker Ltd., collotypers.""']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,London,2023-11-13T21:03:34.784000+00:00,"['London Topographical Society', 'Gottfried, Johann Ludwig, active 17th century']",Aerial views,Still Image,2587965,"['London (England)--Aerial views--Early works to 1800--Facsimiles', 'London (England)--Pictorial works--Early works to 1800--Facsimiles']","Merian, Matthaeus, 1593-1650",J.L. Gottfried London Topographical Society,1638. 1922.,G5754.L7A35 1638 .M4 1922,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/12/pages/page_0/files/londonmaps_2587965.jpg,
"maps : overlays ; 45 x 45 cm., sheets 58 x 49 cm","['application/tif', 'reformatted digital']","['Shows building footprints', 'Some sheets indicate when ""Surveyed"" and ""Levelled"" or ""Revised"" in upper margin.', 'Some sheets indicate more information on ""The Projection for Ordnance Survey Maps and Plans and the National Reference System.""', '""The lines on this plan form part of the National Grid and are spaced at 100 metre intervals.""', 'Some sheets include mereing abbreviations.', 'Geographic area in title supplied by cataloger', 'Photographic reduction']",eng,A copyright review process in November 2021 has determined that this particular item is in the public domain. http://rightsstatements.org/vocab/NoC-US/1.0/,"Ordnance survey national grid plans, scale 1:2500 [Westminster]",2023-11-13T21:08:48.015000+00:00,,Maps,Cartographic image,3970935,"['Westminster (London, England)', 'London (England)']",Great Britain. Ordnance Survey.,Director General of the Ordnance Survey,1950,G5754.W54 s2 .G74,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_0/files/londonmaps_3970935_01.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_1/files/londonmaps_3970935_02.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_2/files/londonmaps_3970935_03.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_3/files/londonmaps_3970935_04.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_4/files/londonmaps_3970935_05.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_5/files/londonmaps_3970935_06.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_6/files/londonmaps_3970935_07.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_7/files/londonmaps_3970935_08.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_8/files/londonmaps_3970935_09.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_9/files/londonmaps_3970935_10.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/london-maps-batch-2_objects/16/pages/page_10/files/londonmaps_3970935_11.jpg,
