dc_identifier,dcterms_extent,ldp_contains,fedora_writable,fedora_created,dc_creator,dcterms_spatial,dcterms_medium,tamudigital_local/details,fedora_lastModifiedBy,dc_type,fedora_hasParent,dc_subject,fedora_lastModified,dc_title,dc_rights,dcterms_type,dc_format,fedora_createdBy,files,dc_relation,dcterms_temporal,dcterms_created,dc_contributor
4420,"1 sheet of gray, pink, white and cream marbled paper; 19.50 x 27.50 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/129/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/129/orderProxies,false,2022-06-21T13:55:01.371000+00:00,"Frigge, Karli",Netherlands,Paper,"Distribution of fibers; Surface application; Laid; Marbled; M4.D3.F4; Agate marble with 6 large ""eyeball""; nuclei or (2 large, 2 medium and 2 small) spheres containing a range of abstract images; laid paper; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.4.f; Not signed; Stamped; White gluey residue on verso; The Berger/Cloonan paper collection contains a large number of the works of Karli Frigge. Sidney E. Berger wrote Karli Frigge's Life in Marbling (Newtown, PA: Bird & Bull Press, 2004), in which he claims that Karli Frigge is perhaps the greatest marbler in history.; [stamped in black ink on verso]: ""KARLI FRIGGE LOCHEMSEWEG 75 7215 RA JOPPE NEDERLAND [printed in an open square]""",fedoraAdmin,Stone marbled papers|art reproduction,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:55:01.371000+00:00,Berger-Cloonan #4420,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/129/pages/page_0/files/04420.jpg,,,,
1091-001,"1 sheet of brown, gray, black and white marbled paper; 20.25 x 25.25 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/66/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/66/orderProxies,false,2022-06-21T13:53:15.272000+00:00,"Cockerell, Douglas|Cockerell, Sydney Morris",England,Paper,"Surface application; Marbled; M4.D5.F5; Sidney E. Berger and Michele V. Cloonan purchased the sheet from the Paper Source in Los Angeles, California circa 1988.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Not signed; Not stamped; Not stickered; Not embossed; Douglas Cockerell and Sidney Cockerell, father and son, were both talented English marblers. They marbled beginning in the 1970s.",fedoraAdmin,Combed marbled papers|art reproduction|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:53:15.272000+00:00,Berger-Cloonan #1091-001,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/66/pages/page_0/files/01091-001.jpg,,,,Cockerell
8,"1 sheet of green, red, pink, brown, cream and white marbled paper; 19.50 x 23.00 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/9/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/9/pages,false,2022-06-21T13:51:54.213000+00:00,"Breugel, Eva Van",Holland,Paper,"Surface application; Marbled; M5.D4.F1; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4; Not signed; Stamped; Not stickered; Not embossed; A small strip of thin paper with the same marbled pattern is clipped to the full sheet with a circular paper clip.; [stamped in blue ink on verso]: ""EVA VAN BREUGEL""",fedoraAdmin,Random marbled papers|marbled paper|art reproduction,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:51:54.213000+00:00,Berger-Cloonan #8,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/9/pages/page_0/files/00008.jpg,M5.D4.F1.A,,,
3H33|1080,1 sheet of dark blue and white paste paper; 17.50 x 25.00 in.,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/55/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/55/pages,false,2022-06-21T13:52:55.353000+00:00,"Hall, Victoria",England--Norwich,Paper,"Surface application; Paste; M4.D5.F3; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Ian Harkness.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.G.2.a; Not signed; Stamped; Not stickered; Not embossed; [stamped in black ink on verso]: ""Victoria Marbling  HAND DECORATED PAPERS BY VICTORIA HALL, St. Mary's Works, Duke Street, Norwich, NR3 1QA ENGLAND Tel: 01603 76441""; [stamped in red ink on verso]: ""Copyright [copyright symbol] 1995, No unauthorized reproduction""; [stamped in black ink on verso]: ""Ian Harkness English Hand Marbled Papers, 214-869-9010, To Re-Order Quote Ref 3H33""",fedoraAdmin,Brushed paste papers|art reproduction,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Paste papers,2022-06-21T13:52:55.353000+00:00,Berger-Cloonan #1080,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/55/pages/page_0/files/01080.jpg,,1990s,1995,Victoria Marbling
987,"1 sheet of peach, yellow, dark green, light blue and white marbled paper; 13.75 x 19.50 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/29/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/29/pages,false,2022-06-21T13:52:11.202000+00:00,"Nacar, Pmran",,Paper,"Surface application; Marbled; M4.D5.F1; Pmran Nacar donated the sheet to Sidney E. Berger and Michele V. Cloonan on 04/21/2001.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.c; Signed; Not stamped; Not stickered; Not embossed; [written in red ink on verso]: ""From Pmran Nacarto dear Sid.21/04/01""; [written in blue ink on verso]: ""imra""",fedoraAdmin,art reproduction|curl marbled paper|Dutch marbled paper|French snail marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:52:11.202000+00:00,Berger-Cloonan #987: Imra,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/29/pages/page_0/files/00987.jpg,M4.D5.F1.A,,,
11,"1 sheet of green, blue, brown, cream and white marbled paper; 19.50 x 27.25 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/12/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/12/pages,false,2022-06-21T13:51:31.893000+00:00,"Breugel, Eva Van",Holland,Paper,"Surface application; Marbled; M5.D4.F1; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.4.f; Not signed; Stamped; Not stickered; Not embossed; [stamped in blue ink on verso]: ""EVA VAN BREUGEL""",fedoraAdmin,Stone marbled papers|agate marbled paper|art reproduction,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:51:31.893000+00:00,Berger-Cloonan #11,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/12/pages/page_0/files/00011.jpg,M5.D4.F1.A,,,
4445,"1 sheet of gray, blue, pink, white and cream marbled paper; 19.50 x 27.50 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/141/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/141/orderProxies,false,2022-06-21T13:55:23.867000+00:00,"Frigge, Karli",Netherlands,Paper,"Distribution of fibers; Surface application; Laid; Marbled; M4.D3.F4; Agate marble with cellular aspect and 6 nuclei or eyes with molecular design; laid paper; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.4.f; Not signed; Stamped; Ink on verso; slightly curled; The Berger/Cloonan paper collection contains a large number of the works of Karli Frigge. Sidney E. Berger wrote Karli Frigge's Life in Marbling (Newtown, PA: Bird & Bull Press, 2004), in which he claims that Karli Frigge is perhaps the greatest marbler in history.; [stamped in black ink on verso]: ""KARLI FRIGGE LOCHEMSEWEG 75 7215 RA JOPPE NEDERLAND [printed in an open square]""",fedoraAdmin,agate marbled paper|Stone marbled papers|art reproduction,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:55:23.867000+00:00,Berger-Cloonan #4445,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/141/pages/page_0/files/04445.jpg,,,,
1133,"1 sheet of red, green and white marbled paper; 20.25 x 25.25 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/108/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/108/pages,false,2022-06-21T13:54:26.195000+00:00,"Cockerell, Sydney Morris|Cockerell, Douglas",England,Paper,"Surface application; Marbled; M4.D3.F7; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Not signed; Stamped; Not stickered; Not embossed; Douglas Cockerell and Sidney Cockerell, father and son, were both talented English marblers. They marbled beginning in the 1970s.; [stamped in black ink on verso]: [copyright symbol] COCKERELL 1996 BARTON CAMBRIDGE CB3 7AD ENGLAND Tel/Fax 01223 262430 NO UNAUTHORISED REPRODUCTION""; [stamped in black ink on verso]: ""FINEST ENGLISH HAND MARBLED DESIGN FROM THE COCKERELL STUDIO EST. OVER 80 YRS""",fedoraAdmin,curl marbled paper|Combed marbled papers|art reproduction,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:54:26.195000+00:00,Berger-Cloonan #1133,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/108/pages/page_0/files/01133.jpg,,1990s,1996,Cockerell
1122,"1 sheet of gray, yellow, red and white marbled paper; 20.25 x 25.25 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/97/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/97/orderProxies,false,2022-06-21T13:54:07.751000+00:00,"Cockerell, Douglas|Cockerell, Sydney Morris",England--Cambridge,Paper,"Surface application; Marbled; M4.D3.F7; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Not signed; Stamped; Not stickered; Not embossed; Douglas Cockerell and Sidney Cockerell, father and son, were both talented English marblers. They marbled beginning in the 1970s.; [stamped in black ink on verso]: [copyright symbol] COCKERELL 94 WIMPOLE ROAD BARTON CAMBRIDGE CB3 7AD ENGLAND Tel 01223 262430 QUALITY HAND MARBLED DESIGN NO UNAUTHORISED REPRODUCTION""; [stamped in black ink on verso]: ""COCKERELL MARBLED PAPERS *SECOND* HAND MARBLED DESIGN""",fedoraAdmin,art reproduction|Combed marbled papers|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:54:07.751000+00:00,Berger-Cloonan #1122,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/97/pages/page_0/files/01122.jpg,,,,Cockerell
1138,"1 sheet of yellow, red, black, gray and white marbled paper; 20.25 x 25.25 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/113/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/113/orderProxies,false,2022-06-21T13:54:37.753000+00:00,"Cockerell, Sydney Morris|Cockerell, Douglas",England,Paper,"Surface application; Marbled; M4.D3.F7; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.c; Not signed; Stamped; Not stickered; Not embossed; Douglas Cockerell and Sidney Cockerell, father and son, were both talented English marblers. They marbled beginning in the 1970s.; [stamped in black ink on verso]: [copyright symbol] COCKERELL 1996 BARTON CAMBRIDGE CB3 7AD ENGLAND Tel/Fax 01223 262430 NO UNAUTHORISED REPRODUCTION""; [written in blue ink on verso]: ""2nd""",fedoraAdmin,Dutch marbled paper|French snail marbled papers|art reproduction|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:54:37.753000+00:00,Berger-Cloonan #1138,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/113/pages/page_0/files/01138.jpg,,1990s,1996,Cockerell
4424,"1 sheet (front and back views) of gray, pink, blue, black, white and cream marbled paper; 19.50 x 27.50 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/130/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/130/pages,false,2022-06-21T13:55:06.161000+00:00,"Frigge, Karli",Netherlands,Paper,"Distribution of fibers; Surface application; Laid; Marbled; M4.D3.F4; Agate marble on recto and verso with 6 large nuclei or (3 large, 3 medium) spheres containing a range of abstract images (flower burst and cellular); laid paper; decoration on verso not well registered around spheres; 2 large black streaks on verso; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.4.f; Not signed; Stamped; Ink on verso; The Berger/Cloonan paper collection contains a large number of the works of Karli Frigge. Sidney E. Berger wrote Karli Frigge's Life in Marbling (Newtown, PA: Bird & Bull Press, 2004), in which he claims that Karli Frigge is perhaps the greatest marbler in history.; [stamped in black ink on verso]: ""NUMMER KARLI FRIGGE MARMER PAPIER NEDERLAND [printed in 4 scrolls""",fedoraAdmin,art reproduction|Stone marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:55:06.161000+00:00,Berger-Cloonan #4424,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/130/pages/page_0/files/04424A.jpg|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/130/pages/page_1/files/04424B.jpg,,,,
1008,"1 sheet of red, yellow, blue, green, brown and white marbled paper; 5.75 x 8.25 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/50/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/50/orderProxies,false,2022-06-21T13:52:45.332000+00:00,"Almaleh, Beki",Turkey--Istanbul,Paper,"Surface application; Marbled; M4.D5.F1; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1.c; Signed; Not stamped; Not stickered; Not embossed; #01008 and #01009 stored together in envelope; [written in black ink on recto]: ""Beki Almaleh""",fedoraAdmin,Dutch marbled paper|French snail marbled papers|art reproduction|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:52:45.332000+00:00,Berger-Cloonan #1008,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/50/pages/page_0/files/01008.jpg,M4.D5.F1.A,,,
2,"1 sheet of blue, brown, yellow, black and white marbled paper; 19.50 x 24.50 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/3/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/3/orderProxies,false,2022-06-21T13:51:26.816000+00:00,"Breugel, Eva Van",Holland,Paper,"Distribution of fibers; Surface application; Laid; Marbled; M5.D4.F1; Underlying pattern is stone marbling; overlying pattern is combed marbling; laid paper; paper very thin; Sidney E. Berger and Michele V. Cloonan purchased the sheet from Kathy Link in 2009. All papers purchased from Kathy Link originally came from the Bennington, Vermont bindery of Gerhard Gerlach and Kathryn (Posey) Gerlach (Kathy Link's parents). Michele V. Cloonan studied bookbinding under Kathryn (Posey) Gerlach.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: II.E; VIII.F.3; Signed; Not stamped; Not stickered; Not embossed; [written twice in pencil on verso]: ""Eva Van Breugel""",fedoraAdmin,marbled paper|art reproduction|Over-marbled papers,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbling (Bookbinding)|Marbled papers,2022-06-21T13:51:26.816000+00:00,Berger-Cloonan #2,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/3/pages/page_0/files/00002.jpg,M5.D4.F1.A,,,
1094,"1 sheet of blue, light brown, dark brown and white marbled paper; 8.25 x 10.00 in.",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/69/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/69/orderProxies,false,2022-06-21T13:53:19.130000+00:00,"Cockerell, Douglas|Cockerell, Sydney Morris",England,Paper,"Surface application; Marbled; M4.D5.F4; Sidney E. Berger and Michele V. Cloonan purchased the sheet from the Paper Source in Los Angeles, California circa 1988.; Section(s) from the Decorated and Decorative Paper Terms Thesaurus: VIII.F.1; Not signed; Stamped; Not stickered; Not embossed; Douglas Cockerell and Sidney Cockerell, father and son, were both talented English marblers. They marbled beginning in the 1970s.; [stamped in black ink on recto]: ""G & W""",fedoraAdmin,Combed marbled papers|art reproduction|curl marbled paper,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects,Marbled papers,2022-06-21T13:53:19.130000+00:00,Berger-Cloonan #1094,In copyright; For more information see: http://rightsstatements.org/vocab/InC/1.0/,StillImage,reformatted digital,fedoraAdmin,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/fb/00/6c/bc/fb006cbc-d2e5-4fcb-9321-62b6385720d0/berger_cloonan_batch_7_objects/69/pages/page_0/files/01094.jpg,,,,Cockerell
