dcterms_extent,dcterms_type,fedora_createdBy,dc_subject,fedora_writable,ldp_contains,dcterms_isPartOf,dc_description,dc_format,dc_publisher,dc_summary,fedora_created,dc_language,fedora_lastModifiedBy,dc_type,dcterms_issued,fedora_hasParent,dc_title,fedora_lastModified,dc_rights,files,dc_identifer,dc_creator,dc_contributor
Book cover,StillImage|Text,fedoraAdmin,Climatic changes,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/32/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/32/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Ticonderoga Publications,"These 19 stories explore meteorological, agricultural and biological technologies, alternative histories, arcologies and communes, the beauty in flooded cities, innovations in cross-continental travel, animals on the verge of extinction, androids, reality tv shows, new food sources, environmental refugees, blurring the divide between humans and animals, and friendship, family and love.",2023-06-05T16:43:01.153000+00:00,eng,fedoraAdmin,Ecofiction|book jackets|Science fiction|Short stories,[2017],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Ecopunk!,2023-06-05T16:43:01.153000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/32/pages/page_0/files/Scifi2021Ecopunk.jpg,5969009,,
Book cover,StillImage|Text,fedoraAdmin,Environmental disasters|Twenty-first century|Overpopulation|Epidemics|Emigration and immigration|Natural disasters,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/37/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/37/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,[CreateSpace],"""It is 2025, and a young White House aide, Aleks, finds himself locked up in quarantine after he tested positive from a routine briefing in a hotspot. Thus temporarily removed from the fast-paced world of politics, Aleks recounts how the much-admired female president Lucia Jackson became a globally revered leader who united much of the world under the environmental banner. Aleks's position as a trusted environmental advisor to the president gives him a privileged insider's view into the political maneuvering - and the need for compromises - that have led to U.S. global dominance. What Aleks finally uncovers confronts the reader with the moral choices we all have to make in our precarious times. Philosophical rather than prescriptive, We Are But A Moment explores how we live and die in the 21st century, what we consume, how we inhabit our world, and whether we can all live, and love, in the future."" -- Provided by publisher.",2023-06-05T16:44:36.214000+00:00,eng,fedoraAdmin,Thrillers (Fiction)|Ecofiction|book jackets|Political fiction|Apocalyptic fiction,[2017],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,We are but a moment,2023-06-05T16:44:36.214000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/37/pages/page_0/files/Scifi2021BearWe.jpg,5969699,"Baer, Ulrich",
1 tapestry (3 parts) made of worsted weight colored yarn,StillImage,fedoraAdmin,College Station (Texas)|Temperature normals|2000-2099|1900-1999|Temperature measurements|Observations|History,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/96/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/96/orderProxies,Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,,"Tapestry depicting temperature changes over time in the College Station area, 1980-2020",2023-06-05T17:03:32.167000+00:00,eng,fedoraAdmin,tapestries|wall hangings|needlework (visual works),2021,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Tempestries of Aggieland ,2023-06-05T17:03:32.167000+00:00,"No copyright - United States; for more information, see https://rightsstatements.org/page/NoC-US/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/96/pages/page_0/files/tapestries.jpg,,"Herbert, Shelby",
Magazine cover,Text|StillImage,fedoraAdmin,"Pulp literature, American|Short stories, American|Detective and mystery short stories",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/90/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/90/orderProxies,Science Fiction & Fantasy Research Collection,"Front cover image of a copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Frank A. Munsey Co.,"Volume 10, Issue 2 of the serial ""Famous Fantastic Mysteries"" was released in December 1948.  Its cover features artwork for J.J. Connington's novel, ""Nordenholt's Million.""  The cover has the caption: ""Nordenholt's Million: the strangest story ever told! by J. J. Connington."" This issue also featured the short story, ""Let Clarence Do It"" by Edward S. Sullivan.",2023-06-05T17:01:33.025000+00:00,eng,fedoraAdmin,Detective and mystery fiction|Short stories|Periodicals,[1948],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,"Famous fantastic mysteries: [v. 10, issue 2, December 1948]",2023-06-05T17:01:33.025000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/90/pages/page_0/files/Scifi2021Famous.jpg,794418,"Connington, J. J., 1880-1947",
Book cover,Text|StillImage,fedoraAdmin,Glacial epoch|End of the world|Climatic changes|Nuclear warfare|Dystopias|Recluses,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/80/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/80/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Popular library,"In a frozen, apocalyptic landscape, destruction abounds: great walls of ice overrun the world and secretive governments vie for control. Against this surreal, yet eerily familiar broken world, an unnamed narrator embarks on a hallucinatory quest for a strange and elusive ""glass-girl"" with silver hair. He crosses icy seas and frozen plains, searching ruined towns and ransacked rooms, all to free her from the grips of a tyrant known only as the warden and save her before the ice closes all around. Ice is at once a dystopian adventure shattering the conventions of science fiction, a prescient warning of climate change and totalitarianism, a feminist exploration of violence and trauma, a Kafkaesque literary dreamscape, and a brilliant allegory for its author's struggles with addiction.",2023-06-05T16:58:17.138000+00:00,eng,fedoraAdmin,book jackets|Ecofiction|Dystopian fiction|Science fiction,[1970],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Ice,2023-06-05T16:58:17.138000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/80/pages/page_0/files/Scifi2021KavanIce.jpg,418288,"Kavan, Anna, 1901-1968",
Book cover,StillImage|Text,fedoraAdmin,"Climatic changes|Droughts|Australia|Government, Resistance to|Evacuation of civilians",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/29/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/29/orderProxies,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Odyssey Books,"In a thirsty, drought-stricken Australia, the country is well and truly sunburnt. As the Eastern states are evacuated to more appealing climates, a stubborn few resist the forced removal. They hide out in small country towns – somewhere no one would ever bother looking.  When strange lights appear across the Western sky, it seems that those embittered by the drought are seeking revenge. And Bill and Tobe are in their path. In the heat of the moment secrets will be revealed, and survival can’t be guaranteed.",2023-06-05T16:42:04.223000+00:00,eng,fedoraAdmin,Ecofiction|book jackets|Dystopian fiction,2017,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,The rain never came,2023-06-05T16:42:04.223000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/29/pages/page_0/files/Scifi2021WalterThe.jpg,5968900,"Walter, Lachlan",
1 poster with colored illustrations and text; 102 x 69 cm,StillImage,fedoraAdmin,United States|Environmental films|Day after tomorrow (Motion picture),false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/108/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/108/orderProxies,Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Twentieth Century-Fox Film Corporation,Movie poster of the 2004 movie The Day after Tomorrow,2023-06-05T16:36:38.368000+00:00,eng,fedoraAdmin,film posters|Posters,2004,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,"The Day after tomorrow : May 28, where will you be?",2023-06-05T16:36:38.368000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/108/pages/page_0/files/DafterTomorrow.jpg,,,
Book cover,Text|StillImage,fedoraAdmin,"Disasters|Poets, Finnish|Finland--Helsinki|Finland|Missing persons",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/10/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/10/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Henry Holt and Company,"It's two days before Christmas and Helsinki is battling a ruthless climate catastrophe: subway tunnels are flooded; abandoned vehicles are left burning in the streets; the authorities have issued warnings for malaria, tuberculosis, Ebola, and the plague. People are fleeing to the far north of Finland and Norway, where conditions are still tolerable. Social order is crumbling and private security firms have undermined the police force. Tapani Lehtinen, a struggling poet, is among the few still able and willing to live in the city. When Tapani's beloved wife, Johanna, a newspaper journalist, goes missing, he embarks on a frantic hunt for her. Johanna's disappearance seems to be connected to a story she was researching about a politically motivated serial killer known as ""The Healer."" While searching for Johanna, Tapani uncovers secrets from her past -- secrets that connect her to the very murders she was investigating.",2023-06-05T16:30:19.214000+00:00,eng,fedoraAdmin,Thrillers (Fiction)|book jackets|Ecofiction|Dystopian fiction|Noir fiction,2013,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,The healer,2023-06-05T16:30:19.214000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/10/pages/page_0/files/Scifi2021TuomainenThe.jpg,5968870,"Tuomainen, Antti",
Book cover,StillImage|Text,fedoraAdmin,Kidnapping|Environmental disasters|Dystopias|Antarctica|Survival|Criminals|Environmentalists|Climatic changes,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/34/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/34/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy  held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Gollancz,"The great geoengineering projects have failed. The world is still warming, sea levels are still rising, and the Antarctic Peninsula is home to Earth's newest nation, with life quickened by ecopoets spreading across valleys and fjords exposed by the retreat of the ice. Austral Morales Ferrado, a child of the last generation of ecopoets, is a husky: an edited person adapted to the unforgiving climate of the far south, feared and despised by most of its population. She's been a convict, a corrections officer in a labor camp, and consort to a criminal, and now, out of desperation, she has committed the kidnapping of the century. But before she can collect the ransom and make a new life elsewhere, she must find a place of safety amongst the peninsula's forests and icy plateaus, and evade a criminal gang that has its own plans for the teenage girl she's taken hostage.",2023-06-05T16:43:39.395000+00:00,eng,fedoraAdmin,book jackets|Ecofiction|Dystopian fiction|Science fiction,2018,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Austral,2023-06-05T16:43:39.395000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/34/pages/page_0/files/Scifi2021McAuleyAustral.jpg,5969628,"McAuley, Paul J.",
Book cover,Text|StillImage,fedoraAdmin,Good and evil|End of the world|Mothers and daughters|Conduct of life,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/88/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/88/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Orbit,"The Moon will soon return. Whether this heralds the destruction of humankind or something worse will depend on two women. Essun has inherited the power of Alabaster Tenring. With it, she hopes to find her daughter Nassun and forge a world in which every orogene child can grow up safe. For Nassun, her mother's mastery of the Obelisk Gate comes too late. She has seen the evil of the world, and accepted what her mother will not admit: that sometimes what is corrupt cannot be cleansed, only destroyed. The remarkable conclusion to the post-apocalyptic and highly acclaimed trilogy that began with the multi-award-nominated The Fifth Season. The Broken Earth.",2023-06-05T17:00:54.451000+00:00,eng,fedoraAdmin,Fantasy fiction|Apocalyptic fiction|book jackets|Science fiction,2017,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,The stone sky,2023-06-05T17:00:54.451000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/88/pages/page_0/files/Scifi2021JemisinThe.jpg,5540972,"Jemisin, N. K.",
1 poster with colored illustrations and text; 92 x 61 cm,StillImage,fedoraAdmin,Superhero films|Aquaman (Motion picture)|United States,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/105/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/105/pages,Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,DC Comics,Movie poster of the 2018 movie Aquaman,2023-06-05T16:35:42.147000+00:00,eng,fedoraAdmin,Posters|film posters,2018,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,"Aquaman, only in theaters December 21 : home is calling",2023-06-05T16:35:42.147000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/105/pages/page_0/files/Aquaman.jpg,,,
Book cover,Text|StillImage,fedoraAdmin,"Women lawyers|Government, Resistance to|Artificial intelligence|Terrorists|Public defenders|Future, The",false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/65/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/65/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the first edition held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Tor,"Rubi Whiting is a member of the Bounceback Generation, the first to be raised free of the troubles of the late-21st century. Now she works as a public defender to help troubled individuals with anti-social behavior. That's how she met Luciano Pox. But there's more to him than being a lightning rod for controversy. Rubi has to find out why the governments of the world want to bring Luce into custody, and why Luce is hell bent on stopping the recovery of the planet.",2023-06-05T16:53:27.501000+00:00,eng,fedoraAdmin,Ecofiction|book jackets|Science fiction,2019,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Gamechanger,2023-06-05T16:53:27.501000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/65/pages/page_0/files/Scifi2021BeckettGamechanger.jpg,5932184,"Beckett, L. X.",
1 poster with colored illustrations and text; 102 x 69 cm,StillImage,fedoraAdmin,Children of men (Motion picture)|Science fiction films,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/101/pages|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/101/orderProxies,Science Fiction & Fantasy Research Collection,"Held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Universal Pictures,Movie poster of the 2006 movie Children of Men,2023-06-05T16:34:26.871000+00:00,eng,fedoraAdmin,film posters|Posters,2006,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,"Children of men : in 20 years, women are infertile, no children, no future, no hope, but all that can change in a heartbeat",2023-06-05T16:34:26.871000+00:00,"In copyright--educational user permitted; for more information, see http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/101/pages/page_0/files/CoM.jpg,,,
Book cover,Text|StillImage,fedoraAdmin,Science fiction|Droughts|Survival|Revolutionaries,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/14/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/14/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction’s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,Holiday House,"Feeling guilty after her mother's accidental death, sixteen-year-old Tessendra Rockwood leaves the abundance of Eden to fight for survival in the drought-devastated Badlands, but when she joins the rebel group, Kudzu, to fight the tyranny of Eden's government, she is in for some big surprises.",2023-06-05T16:37:16.496000+00:00,eng,fedoraAdmin,Science fiction|book jackets|Ecofiction,[2014],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,Parched,2023-06-05T16:37:16.496000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/14/pages/page_0/files/Scifi2021ClarkParched.jpg,4781810,"Clark, Georgia",
Book cover,Text|StillImage,fedoraAdmin,Vermont|Climatic changes|Storms|Man-woman relationships,false,https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/110/orderProxies|https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/110/pages,Science Fiction & Fantasy Research Collection,"Book jacket image of the copy held in the Science Fiction & Fantasy Research Collection at Cushing Memorial Library on the campus of Texas A&M University, College Station, Texas and included in an exhibition, ""Live To Build A Better World: Despair, Survival, and Hope in Science Fiction�s Response to Environmental Change,""  at Cushing from January 19, 2021-June 30, 2021.",reformatted digital,MIRA,"""Ash and Pia move from hipster Brooklyn to rustic Vermont in search of a more authentic life. But just months after settling in, the forecast of a superstorm disrupts their dream. Fear of an impending disaster splits their tight-knit community and exposes the cracks in their marriage. Where Isole was once a place of old farm families, rednecks and transplants, it now divides into paranoid preppers, religious fanatics and government tools, each at odds about what course to take.""--Page 4 of cover.",2023-08-04T16:32:05.305000+00:00,eng,fedoraAdmin,Psychological fiction|Domestic fiction|Ecofiction|book jackets,[2016],https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects,We are unprepared : a novel,2023-08-04T16:32:05.305000+00:00,"In copyright--educational user permitted; for more information, see  http://rightsstatements.org/vocab/InC-EDU/1.0/",https://api.library.tamu.edu/fcrepo/rest/3b/6f/c3/25/3b6fc325-f6ca-41d8-b91e-8c5db3be8c13/scifi-exhibit-2021_objects/110/pages/page_0/files/Scifi2021LittleReillyWe.jpg,5969010,"Reilly, Meg Little",
